אבד,A,16
אבזר,C,20
אבחן,C,25
אבטח,C,26
אגד,A,14
אגף,A,14
אגר,A,14
אגרף,C,20
אהב,A,21
אהד,A,20
אבזר,D,14
אבחן,D,16
אבטח,D,19
אבק,D,1
אבן,D,3
אגד,D,1
אגף,D,1
אדה,D,10
אורר,C,20
אורר,D,14
אזן,D,3
אזרח,D,19
אחד,D,4
אחה,D,11
אחזר,D,14
אחסן,D,16
איר,D,1
איש,D,1
אית,D,2
אכזב,D,14
אכל,D,1
אכלס,D,14
אכן,D,3
אכסן,D,16
אלף,D,1
אלץ,D,1
אלתר,D,14
אמן,D,3
אמץ,D,1
אמת,D,2
אונן,C,14
אפין,D,16
אפס,D,1
אפר,D,1
אקלם,D,14
ארגן,D,16
אשפז,D,14
אשר,D,1
אשרר,D,14
אושש,C,12
אושש,D,8
אשש,D,1
אתגר,D,14
אתחל,D,18
אתר,D,1
אותת,C,13
אזכר,C,20
אזל,A,15
אזר,A,14
אזרח,C,26
אחז,A,20
אחזר,C,20
אחסן,C,22
אטם,A,14
אבד,C,1
אבן,C,3
אבק,C,1
אגד,C,1
אגף,C,1
אדה,C,17
אזן,C,3
אחד,C,4
אחה,C,18
אחל,C,4
אחר,C,4
אטם,C,1
איד,C,1
איך,C,1
אים,C,1
אין,C,3
איר,C,1
איש,C,1
אית,C,2
אכל,C,1
אכן,C,3
אלף,C,1
אלץ,C,1
אמן,C,3
אמץ,C,1
אמת,C,2
אפס,C,1
אפר,C,1
ארח,C,10
ארס,C,5
ארע,C,11
אשר,C,1
אשש,C,1
אתר,C,1
אכזב,C,20
אכל,A,16
אכלל,C,20
אכלס,C,20
אכסן,C,22
אכף,A,14
אכשר,C,20
אלחש,C,20
אלתר,C,20
אמד,A,14
אמלל,C,20
אמר,A,16
אנס,A,14
אנפף,C,20
אסלם,C,20
אסף,A,14
אסר,A,14
אפה,A,52
אפין,C,22
אפנן,C,22
אפף,A,14
אפרט,C,20
אפשט,C,20
אפשר,C,20
אץ,A,35
אצל,A,14
אצר,A,14
אקלם,C,20
ארב,A,14
ארג,A,14
ארגן,C,22
ארה,A,51
ארז,A,14
ארך,A,15
אשפז,C,20
אשפר,C,20
אשרר,C,20
אתגר,C,20
אתחל,C,24
בא,A,47
באש,A,17
בגד,A,1
בגר,A,4
בדה,A,48
בדק,A,1
בהה,A,53
בהק,A,17
באר,D,6
בודד,C,12
בודד,D,8
בדד,D,1
בזבז,D,14
בזר,D,1
בטא,D,9
בטח,D,7
בטל,D,1
ביל,D,1
בים,D,1
ביש,D,1
בית,D,2
בלבל,D,14
