Word1 Word2 Score
skroman posramljen 1.50
zao užasan 4.40
glup tup 5.40
pristojan pogodan 2.80
nemiran mlad 1.80
težak lagan 0.00
drag velikodušan 2.70
pametan inteligentan 5.90
loš grozan 5.10
turoban dosadan 2.00
suštinski nužan 3.50
sretan veseo 5.60
kriv posramljen 1.70
nesretan bijesan 1.60
velik širok 1.90
star nov 0.00
nužan značajan 3.00
nasilan ljut 2.00
dosadan zabavan 0.00
moderan drevan 0.10
širok uzak 0.10
sretan bijesan 0.30
nedavan nov 4.00
glup budalast 4.40
svjež širok 0.20
drag okrutan 0.30
tužan smiješan 0.50
sićušan ogroman 0.00
loš kriv 2.30
predivan nevjerojatan 3.60
hrapav frigidan 0.40
lak fleksibilan 3.00
loš nemoralan 3.20
težak gust 2.00
oskudan rijedak 4.30
formalan pristojan 3.10
izvrstan užasan 0.20
jednostavan tvrd 0.10
pametan tup 0.00
hitar žuran 4.80
divan čudesan 4.60
lukav tvrd 0.20
kratak dugačak 0.00
nestrpljiv zabrinut 2.30
nov svjež 4.20
presudan važan 4.20
bolestan lud 2.30
djetinjast budalast 3.00
prljav tijesan 0.30
naporan lagan 0.10
star svjež 0.30
dugačak uzak 1.00
težak naporan 4.70
velik težak 2.20
jednostavan lagan 4.80
glup rijedak 0.30
pristupačan jeftin 3.50
iskren kriv 0.60
sretan ljut 0.20
bizaran čudan 4.40
snažan ponosan 2.80
tup inteligentan 0.00
velik krupan 4.70
egzotičan rijedak 4.80
tup vješt 0.20
različit normalan 0.40
loš izvrstan 0.00
jednostavan težak 0.30
vidljiv očigledan 4.30
sretan mlad 1.60
čudan čudnovat 4.20
uplašen tjeskoban 3.00
prljav jeftin 1.00
tvrd čvrst 3.90
prekrasan divan 5.10
srdačan velikodušan 4.60
lukav oštrouman 5.50
lijep predivan 5.10
bezuman lud 5.20
krupan savitljiv 0.50
nevjerojatan lud 2.50
nepotreban potreban 0.00
sretan radostan 5.80
opterećen težak 2.90
lomljiv leden 1.00
ilegalan nemoralan 2.60
loš nevjerojatan 0.90
skroman fleksibilan 0.60
neobičan čudnovat 4.50
velik ogroman 4.90
bijesan zadovoljan 0.30
glup gust 0.20
čudan neobičan 4.50
ogroman tup 0.90
težak lak 0.00
čudan lukav 0.90
odvažan ponosan 3.10
jednostavan velik 0.20
nov drevan 0.00
tužan grozan 1.20
primjetan uočljiv 5.30
elastičan savitljiv 5.60
divan radostan 3.10
grub okrutan 4.00
pouzdan siguran 5.10
uzak prostran 0.20
brz hitar 6.00
siguran uvjeren 5.20
stran čudan 3.60
oštar tup 0.00
čudan normalan 0.40
voda sol 0.70
domovina država 5.20
smjelost samouvjerenost 4.40
žena tajnica 2.30
ulica sokak 5.10
