word 1	word 2	score
ישן	חדש	0.30
חכם	אינטליגנטי	5.40
קשה	מורכב	4.40
שמח	עליז	5.40
קשה	קל	0.30
מהיר	זריז	4.80
שמח	עליז	5.40
קצר	ארוך	0.30
טיפש	מטומטם	5.10
משונה	מוזר	4.80
רחב	צר	0.30
רע	נורא	4.00
קל	מורכב	0.30
רע	איום	4.10
קשה	פשוט	0.30
חכם	מטומטם	0.30
מטורף	משוגע	4.90
שמח	משוגע	0.60
גדול	עצום	4.30
קשה	קשיח	4.20
חדש	טרי	3.80
חריף	משעמם	0.00
זריז	מהיר	4.80
מטומטם	טיפשי	5.00
נפלא	מצוין	5.10
מוזר	תמוה	5.30
שמח	כועס	0.10
צר	רחב	0.30
פשוט	קל	4.90
ישן	טרי	0.20
גלוי	ברור	3.90
זול	מבצע	1.60
נחמד	נדיב	2.40
משונה	נורמלי	0.40
משונה	תמוה	4.80
רע	מושחת	2.90
עצוב	מצחיק	0.20
נפלא	מעולה	4.20
אשם	מתבייש	0.60
יפה	נפלא	2.20
בטוח	ודאי	5.50
מטומטם	צפוף	0.20
ענק	גדול	4.60
נחמד	אכזרי	0.20
עצבני	חרד	2.00
גדול	רחב	2.60
חזק	גאה	0.60
מיותר	הכרחי	0.30
עצבני	צעיר	0.00
מטומטם	אינטליגנטי	0.30
רע	מעולה	0.10
מורכב	פשוט	0.30
הכרחי	חשוב	3.60
רע	מצוין	0.30
כועס	שמח	0.30
כן	אשם	0.00
קל	קשה	0.30
קל	גמיש	0.90
ודאי	בטוח	5.40
חיוני	הכרחי	4.50
שונה	נורמלי	0.30
ערמומי	פיקח	3.50
מכריע	חשוב	3.50
קשוח	אכזרי	1.20
ילדותי	טיפשי	1.80
נדיר	מצומצם	2.40
חברותי	נדיר	0.20
שביר	נוקשה	0.60
ארוך	צר	0.60
גדול	כבד	2.00
מחוספס	נוקשה	2.20
ביזארי	מוזר	5.70
פלילי	מושחת	2.50
רע	אשם	1.50
מודרני	עתיק	0.30
חדש	עתיק	0.30
משעמם	מצחיק	0.10
שמח	צעיר	0.60
קל	גדול	0.30
מעולה	נורא	0.30
זעיר	עצום	0.30
מנומס	ראוי	0.60
צנוע	מתבייש	2.10
אקזוטי	נדיר	3.50
מטומטם	פיקח	0.30
מהנה	נפלא	1.90
בולט	ברור	3.40
חושש	חרד	5.20
רשמי	ראוי	1.00
משמים	משעמם	3.40
מהנה	משמח	4.70
אומלל	משוגע	0.80
עצוב	נורא	1.40
חולה	משוגע	1.50
אלים	כועס	1.60
עמוס	כבד	2.40
מלוכלך	זול	0.70
אלסטי	גמיש	4.70
קשה	צפוף	0.70
חדש	רענן	3.80
נועז	גאה	2.40
ערמומי	מוזר	0.60
מוזר	ערמומי	0.60
מטומטם	נדיר	0.20
ערמומי	קשוח	0.30
מעולה	משוגע	0.30
צנוע	גמיש	0.00
טרי	רחב	0.00
עצום	מטומטם	0.10
גדול	גמיש	0.30
מלוכלך	צר	0.10
אישה	בעל	1.70
ספר	טקסט	1.90
חתן	כלה	1.70
לילה	יום	0.50
דרום	צפון	0.70
מטוס	שדה	0.60
דוד	דודה	3.10
סוס	סוסה	4.70
תחתית	פסגה	0.40
ידיד	חבר	4.90
סטודנט	תלמיד	4.70
עולם	גלובוס	4.80
רגל	זרוע	1.90
אווירון	מטוס	4.80
אישה	גבר	1.70
סוס	סוסון	2.60
שחקנית	שחקן	3.10
מורה	מדריך	4.40
סרט	פילם	4.60
ציפור	נץ	2.70
מילה	מילון	1.50
כסף	משכורת	3.20
כלב	חתול	0.40
שטח	אזור	4.90
צי	צבא	2.50
ספר	ספרות	2.10
בגדים	ארון	0.90
שקיעה	זריחה	0.90
ילד	מבוגר	0.90
פרה	בקר	4.60
ספר	סיפור	3.00
חורף	קיץ	0.70
טקסי	מונית	5.90
עץ	מייפל	1.50
מיטה	חדר	0.60
גג	תקרה	3.70
מחלה	זיהום	2.80
זרוע	כתף	1.20
כבש	טלה	2.10
גברת	מנומס	0.20
סירה	עוגן	0.90
כומר	נזיר	4.20
בוהן	אצבע	3.70
נהר	זרם	1.80
כעס	זעם	5.50
תאריך	יומן	1.30
ים	אוקיינוס	3.20
שנייה	דקה	1.90
יד	אגודל	1.90
עץ	קורה	1.40
בוץ	לכלוך	2.30
פרוזדור	מסדרון	6.00
דרך	אופן	4.70
עכבר	חתול	0.70
שוטר	שריף	3.80
מוות	קבורה	1.50
מוסיקה	מנגינה	5.00
בירה	אלכוהול	2.20
פה	שפה	1.20
סערה	הוריקן	4.20
מס	הכנסה	1.20
פרח	סיגלית	2.10
נייר	קרטון	2.10
רצפה	תקרה	0.90
גדה	חוף	2.70
מוט	וילון	0.90
כלב	שועל	1.00
רחוב	סמטה	3.40
סירה	סיפון	1.70
מכונית	צופר	1.10
חבר	אורח	1.00
מעסיק	מועסק	0.90
יד	מפרק	0.90
כדור	תותח	0.70
אלכוהול	ברנדי	1.50
ניצחון	הצלחה	2.80
טלפון	תא	0.50
דלת	כניסה	1.50
מוטל	אכסניה	5.20
בגדים	בד	2.20
סטייק	בשר	2.90
ציפורן	אגודל	1.40
להקה	תזמורת	3.40
ספר	תורה	1.60
עסק	תעשייה	2.00
חורף	עונה	1.30
עשור	מאה	1.70
אלכוהול	יין	2.00
כובע	מעיל	1.20
חלון	דלת	0.60
זרוע	מפרק	1.60
בית	דירה	3.80
זכוכית	קריסטל	2.80
יין	ברנדי	2.20
בורא	יוצר	5.30
ארוחה	סעודה	5.20
זרוע	שריר	0.80
בועה	קצף	2.50
לחם	קמח	1.60
מוות	טרגדיה	1.80
היעדרות	נוכחות	1.00
רובה	תותח	1.80
דשא	להב	0.10
כדור	סל	0.20
צינור	גינה	0.20
בן	ילד	3.60
כנסייה	מקהלה	0.40
בגדים	מגירה	0.30
מגדל	פעמון	0.30
אבא	הורה	3.10
לימודים	ציון	0.90
הורה	מבוגר	1.50
סורג	כלא	1.00
מכונית	כביש	0.70
מילון	הגדרה	1.10
דלת	מרתף	0.20
צבא	לגיון	2.40
מתכת	אלומיניום	2.20
כיסא	ספסל	2.70
ענן	ערפל	1.80
ילד	בן	3.40
מים	קרח	2.20
מיטה	שמיכה	0.90
משפטן	פרקליט	3.80
שטח	אזור	4.80
עסק	חברה	3.90
בגדים	אריג	2.40
סוודר	מעיל	1.50
כסף	הון	3.00
יד	רגל	0.80
אלכוהול	קוקטייל	1.50
יארד	אינץ	1.90
מולקולה	אטום	2.00
עדשה	מצלמה	1.50
ארוחה	סעודה	5.00
עין	דמעה	1.40
אל	שטן	0.80
לולאה	חגורה	0.60
חולדה	עכבר	2.70
מוטור	מנוע	5.50
מכונית	מונית	2.40
חתול	אריה	1.60
מידה	גודל	2.60
מציאות	הזיה	0.70
דלת	שער	3.30
חתול	חיה	1.60
בדיל	אלומיניום	1.00
עצם	לסת	1.10
דגנים	חיטה	1.60
בית	מפתח	0.70
דם	בשר	0.70
דלת	מסדרון	0.30
אל	רוח	1.10
יכולת	כשירות	5.10
גודש	שפע	3.70
ספה	כיסא	2.40
קיר	לבנה	1.20
קרן	תוף	0.80
איבר	כבד	1.30
כוח	עוצמה	5.20
ביטוי	מילה	3.10
תזמורת	מצעד	0.90
קיבה	מותן	0.40
ענן	סערה	0.60
שמחה	גאווה	0.80
רעש	רעשן	1.50
גשם	ערפל	0.80
בירה	משקה	1.60
גבר	דוד	1.20
תפוח	מיץ	0.80
אינטליגנציה	היגיון	2.60
תקשורת	שפה	2.50
מינק	פרווה	1.20
המון	קהל	3.70
גדה	חוף	4.10
כבל	תיל	3.40
ציפור	הודו	0.60
מיטה	עריסה	3.30
כשירות	יכולת	4.40
ענן	אובך	1.10
סעודה	ארוחה	5.10
סורג	כלוב	2.20
מים	מלח	0.30
חוש	אינטואיציה	3.20
סיטואציה	מצב	5.60
פשע	גניבה	2.00
סגנון	אופנה	3.00
תחום	גבול	4.20
זרוע	גוף	1.30
סירה	מכונית	0.90
כריך	ארוחה	2.00
כלה	נסיכה	0.60
גיבורה	גיבור	3.30
מכונית	מד	0.40
חרק	דבורה	1.20
ערש	עריסה	0.50
חיה	אדם	0.90
מריחואנה	עשב	2.00
מיטה	מרפאה	0.50
לחי	לשון	0.70
דיסק	מחשב	0.60
עקומה	זווית	0.30
דשא	טחב	1.00
לימודים	חוק	0.30
רגל	ראש	0.60
אמא	שומרת	0.50
דוקטור	רופא	5.10
אלכוהול	ויסקי	2.30
פה	שיניים	0.90
ארוחה	בייקון	0.60
אמבטיה	חדר	0.50
צלחת	קערה	3.90
בשר	בייקון	2.20
אוויר	הליום	1.00
עובד	מעסיק	0.60
גוף	חזה	0.70
בן	אבא	0.80
לב	ניתוח	0.40
אישה	מזכירה	0.60
גבר	אבא	1.70
חוף	אי	0.60
סיפור	נושא	1.00
משחק	כיף	0.70
שבת	שבוע	0.70
זוג	צמד	5.20
אישה	רעיה	4.30
כבש	בקר	2.10
ארנק	תיק	2.70
תקרה	קתדרלה	1.60
פול	קפה	1.50
עץ	נייר	1.20
פסגה	צד	0.60
פשע	הונאה	2.50
כאב	נזק	1.10
מאהב	חבר	0.70
ערב	דמדומים	2.40
אבא	בת	0.70
יין	ליקר	1.90
פרה	עז	1.00
אמונה	דעה	2.00
מציאות	אשליה	0.30
חוזה	הסכם	4.80
עושר	עוני	0.30
תאונה	חירום	0.80
קרב	כיבוש	0.70
חבר	מורה	0.50
מחלה	זיהום	1.50
משחק	טריק	1.40
אח	בן	0.80
דודה	אחיין	0.80
עובד	מכונאי	0.50
רופא	אורתודונט	1.90
אלון	מייפל	1.00
דבורה	מלכה	0.60
מכונית	אופניים	1.00
מטרה	חיפוש	0.70
אוגוסט	חודש	1.00
צבא	יחידה	1.10
ענן	תחזית	0.80
רופא	דוקטור	5.10
קניון	עמק	3.30
נהר	עמק	0.90
שמש	שמיים	0.80
מטרה	חץ	0.60
שוקולד	פאי	0.80
נסיבות	מצב	2.70
דעה	בחירה	1.20
קצב	מנגינה	2.00
מעי	עצב	0.80
יום	שחר	1.00
בקר	בקר	6.00
דוקטור	פרופסור	3.30
זרוע	וריד	0.70
חדר	אמבטיה	0.50
תאגיד	עסק	2.20
כיף	כדורגל	0.40
גבעה	צוק	2.00
עצם	קרסול	0.80
תפוח	ממתק	0.80
סייעת	עוזרת	5.00
מנהיג	מנהל	2.80
לימון	תה	0.60
דבורה	נמלה	0.70
כדורסל	בייסבול	0.90
אורז	שעועית	0.70
מיטה	רהיט	0.90
רגש	תשוקה	2.00
אנרכיה	כאוס	5.20
פשע	הפרה	1.90
מכונה	מנוע	0.90
חוף	ים	1.00
סמטה	קערה	0.10
קנקן	בקבוק	2.80
כוח	יכולת	3.10
גרגיר	חרדל	0.50
גיטרה	תוף	0.80
דעה	רעיון	2.70
צפון	מערב	0.80
דיאטה	סלט	0.30
אמא	רעיה	1.40
אב	אם	1.50
חובל	מלח	3.20
מטר	יארד	1.40
בירה	שמפניה	1.20
מנוע	סירה	0.50
קלף	ברידג	0.50
מדע	פסיכולוגיה	0.80
חוטא	קדוש	0.30
הרס	בנייה	0.30
קהל	חבורה	1.80
חוף	שונית	0.70
גבר	ילד	0.90
לחם	גבינה	0.50
אלוף	מנצח	4.60
חגיגה	טקס	3.60
תפריט	הזמנה	1.10
מלך	נסיכה	1.20
עושר	יוקרה	2.70
סבולת	חוזק	2.70
סכנה	איום	3.30
אל	כומר	0.50
גברים	אחוה	0.50
חבר	רע	5.50
מורה	עוזר	1.60
גוף	בטן	0.80
לשון	גרון	0.70
